14,1901-06-27,0674,ScBGzV
11,1902-09-12,0550,gCnoJv
21,1902-10-28,0735,mqsjfJ
21,1903-04-28,1030,OSFVft
14,1903-10-15,0991,oUzpBD
24,1903-10-23,0790,prOCvx
23,1904-10-27,0875,jldMhf
14,1905-06-05,0182,NgyfNC
10,1905-06-18,0988,KjZgZn
16,1906-02-02,1886,gUoXfE
24,1906-04-27,1804,kDGSEn
8,1906-06-10,0995,DaHdie
14,1906-12-06,1601,EwRNui
4,1907-02-08,0538,VHIAIH
21,1907-03-03,0038,TTgQAE
24,1907-03-06,0094,sNzrcJ
20,1908-06-03,0403,OzNxoB
11,1908-07-01,1124,yxgAyr
11,1908-10-29,1943,rodOEe
18,1910-05-07,1749,FmZrtZ
19,1910-05-24,1409,YGTDwH
20,1910-11-20,1545,wVrzln
16,1911-08-29,0547,fvWihr
1,1912-02-07,0845,RGhGel
3,1913-10-05,0159,bYStRe
10,1914-06-19,0532,EVrPqd
4,1917-05-14,0632,PLMtHY
5,1917-07-03,0224,TKcIyK
5,1918-05-06,0041,pRZmKy
11,1918-07-05,0042,Fxnaua
19,1918-08-03,1666,blCnph
2,1918-10-23,1019,rReCUN
4,1918-12-31,0386,ehvHkf
11,1919-10-31,1161,uaCjaT
2,1919-12-01,0249,jKIjpr
20,1920-05-19,1238,eMYyxC
6,1920-12-24,0312,SeueJK
21,1921-06-26,1188,BFuuOF
19,1922-07-24,0208,ePGiIt
6,1924-01-04,1003,KUwxQZ
15,1924-07-27,0985,ckboUh
12,1924-09-18,1509,LrNZhf
8,1925-06-03,0231,PCpjNx
21,1925-07-02,1025,mKYVXt
23,1926-03-13,0263,PzqCQM
5,1926-07-23,1811,sCDpLS
6,1927-08-05,1788,LfjSHj
14,1929-03-21,1559,dnIIZs
18,1931-09-18,1552,bOuClP
4,1931-10-13,0312,AGyyfX
23,1932-02-24,1468,vMVHfA
2,1932-06-30,1533,sysFbp
13,1933-09-27,1480,IEtYII
14,1933-12-09,1649,IGeAVj
1,1934-07-01,1311,jcvkpp
22,1934-07-05,0718,GXwtNa
12,1935-04-07,0695,vaZPsJ
24,1935-06-30,1443,hPptZa
6,1936-08-03,0172,tICKkr
18,1937-03-02,0125,rvHzVe
3,1937-11-15,0142,oPdHQG
10,1939-08-30,1945,nybYzE
14,1940-06-28,1575,XaWOcD
16,1942-02-26,0399,xUlxuI
21,1942-03-24,1731,aSZVUe
20,1942-05-03,1937,oJQnQh
18,1942-08-22,1071,mwUvCV
3,1942-10-27,1207,wCLygU
12,1943-03-21,0775,HWwTBf
18,1943-06-15,0807,eyjgab
15,1943-10-02,1791,onvJVJ
19,1943-11-01,0027,XJFamF
18,1943-11-26,1787,AFImLq
20,1943-12-17,0456,CQWFmQ
4,1945-01-09,1723,qZenGz
18,1945-07-15,0488,CyEvwc
11,1946-03-23,1807,qqOuob
22,1946-05-09,1364,zghtrZ
24,1946-09-15,1532,vgWIIF
16,1947-03-04,1130,sOiUMa
4,1947-05-10,0035,tZkSRx
10,1947-05-13,1410,Irhbkz
14,1948-03-28,0342,MxPZou
4,1948-09-18,0828,nbBBUb
6,1949-02-24,1604,yhxUyd
1,1949-03-22,0459,gtgkwD
1,1950-03-10,1477,HqTLNJ
18,1950-04-16,1424,vdfNIP
22,1950-07-21,0751,MjWKMA
21,1951-03-29,1492,DvTLwR
17,1951-10-01,0816,mTsYgX
13,1952-06-17,1199,CdhZQK
8,1952-06-24,1421,lwoEmH
19,1953-06-04,1619,pouHyC
10,1955-08-04,1368,GITwuj
22,1958-01-17,0146,lsVwLJ
3,1958-04-23,0648,JmxyTd
8,1958-10-06,1109,gAlUDj
2,1959-01-17,0149,ugupcK
20,1959-06-05,1393,GoMNJv
